CodMateria|CodCurso|NombreMateria|Titular|Docente|Dias|Horario|Sede
751|2|Estadística Actuarial|Metelli, María|Nasif, Alejandro|Lu-Mie-Jue|11a13|Córdoba
752|1|Análisis Numérico|García, Javier|Caviezel, Pablo|Ma-Vie|07a09|Córdoba
752|2|Análisis Numérico|García, Javier|Fabris, Julio|Lu-Mie|15a17|Córdoba
753|1|Biometría Actuarial|Sarto, Daniel|Sarto, Daniel|Lu-Mie-Jue|09a11|Córdoba
753|2|Biometría Actuarial|Sarto, Daniel|Caviezel, Pablo|Ma-Vie-Sa|09a11|Córdoba
754|1|Teoría Actuarial de los Seguros Personales|Metelli, Maria Alejandra|Fernandez, Viviana|Lu-Mie-Jue|17a19|Córdoba
754|1|Teoría Actuarial de los Seguros Personales|Metelli, Maria Alejandra|Mutchinick, Paula|Ma-Vie-Sa|17a19|Córdoba
755|1|Teoría Actuarial de los Seguros Patrimoniales|Metelli, Maria Alejandra|Sciaccaluga, Cristian|Ma-Vie-Sa|07a09|Córdoba
755|2|Teoría Actuarial de los Seguros Patrimoniales|Metelli, Maria Alejandra|Fulanito, de Tal|Ma-Vie-Sa|17a19|Córdoba
756|1|Teoría Actuarial de los Fondos y Planes de Jubilaciones, Pensiones y Salud|Perez, Raffo Hernan|Perez, Raffo Hernan|Lu-Mie-Jue|07a09|Córdoba
756|2|Teoría Actuarial de los Fondos y Planes de Jubilaciones, Pensiones y Salud|Perez, Raffo Hernan|Liso, Hector|Ma-Vie-Sa|09a11|Córdoba
757|1|Teoría de Equilibrio Actuarial|Melinsky, Eduardo|Melinsky, Eduardo|Lu-Mie-Jue|07a09|Córdoba
757|2|Teoría de Equilibrio Actuarial|Melinsky, Eduardo|Berinstein, Leonardo|Ma-Vie-Sa|09a11|Córdoba
758|2|Bases Actuariales de las Inversiones y Financiaciones|Perez Raffo, Hernan|Serenelli, Gustavo|Ma-Vie|07a09|Córdoba
759|1|Seminario de Integración y Aplicación|Melinsky, Eduardo|Melinsky, Eduardo|Lu|09a11|Córdoba
759|2|Seminario de Integración y Aplicación|Melinsky, Eduardo|Grinbalt, Gustavo|Ma|19a21|Córdoba
275|1|Tecnología de la Información|Rota, Pablo|Martini, Fernando|Lu-Mie-Jue|21a23|Avellaneda
275|2|Tecnología de la Información|Rota, Pablo|Cardacci, Dario|Lu-Mie-Jue|09a11|Córdoba
655|1|Teconología de las Comunicaciones|Depto. de Sistemas|Crotti, Patricia|Ma-Vie|17a19|Córdoba
655|2|Teconología de las Comunicaciones|Depto. de Sistemas|Cavalli, Olga|Ma-Vie|19a21|Córdoba
657|1|Sistemas de Datos|Chinkes, Ernesto|Fernandez Blanco, María Laura|Ma-Vie|07a09|Córdoba
657|2|Sistemas de Datos|Chinkes, Ernesto|Schneider, Gustavo|Ma-Vie|19a21|Córdoba
658|1|Metodología de los Sistemas de Información|Freijedo, Claudio|Carralbal, Diego|Lu-Mie-Jue|07a09|Córdoba
658|2|Metodología de los Sistemas de Información|Freijedo, Claudio|Bucceri, María Gabriela|Lu-Mie-Jue|19a21|Córdoba
740|1|Redes Informáticas|Chaina, Virginia|Iuorio, Vicente|Ma-Vie|07a09|Córdoba
740|2|Redes Informáticas|Chaina, Virginia|Villa, Juan Pablo|Lu-Jue|19a21|Córdoba
1275|1|Introducción a la Tecnología de la Información y las Comunicaciones|Oriolo, María Cecilia|Grin, Germán|Lu-Jue|19a21|Avellaneda
1275|2|Introducción a la Tecnología de la Información y las Comunicaciones|Oriolo, María Cecilia|Oriolo, María Cecilia|Lu-Jue|07a09|Paternal
1601|1|Ingeniería del Software|Briano, César Ariel|Briano, César Ariel|Ma-Vie|07a09|Córdoba
1601|2|Ingeniería del Software|Briano, César Ariel|Veriansky, Víctor Gustavo|Ma-Vie|19a21|Córdoba
1652|1|Teoría de los Lenguajes y Algoritmos|Veriansky, Víctor Gustavo|Allocati, Héctor|Lu-Jue|07a09|Córdoba
1652|2|Teoría de los Lenguajes y Algoritmos|Veriansky, Víctor Gustavo|Veriansky, Víctor Gustavo|Lu-Jue|19a21|Córdoba
1653|1|Tecnología de los Computadores y Sistemas Operativos|Depto. de Sistemas|Martinez, Miguel|Lu-Mie-Jue|07a09|Córdoba
1653|2|Tecnología de los Computadores y Sistemas Operativos|Depto. de Sistemas|Fuchs, Jorge|Lu-Mie-Jue|19a21|Córdoba
1654|1|Construcción de Aplicaciones Informáticas|Bertagnoli, Patricia|Mendez Cerezuela, Alejandro|Lu-Jue|19a21|Córdoba
1654|2|Construcción de Aplicaciones Informáticas|Bertagnoli, Patricia|Bertagnoli, Patricia|Ma-Vie|21a23|Córdoba
1659|1|Auditoría y Seguridad de los Sistemas de Información|Morteo, Francisco|Marra, Gastón|Lu-Mie-Jue|07a09|Córdoba
1659|2|Auditoría y Seguridad de los Sistemas de Información|Morteo, Francisco|Morteo, Francisco|Lu-Mie-Jue|19a21|Córdoba
1660|1|Actuación Profesional del Licenciado en Sistemas de las Organizaciones|Piorun, Juan|Duarte, Iván|Ma-Vie|19a21|Córdoba
1660|2|Actuación Profesional del Licenciado en Sistemas de las Organizaciones|Piorun, Juan|Michalla, Bárbara|Lu-Jue|21a23|Córdoba
1799|1|Gestión de Recursos Informáticos|Freijedo, Claudio|Freijedo, Claudio|Ma-Vie|07a09|Córdoba
1799|2|Gestión de Recursos Informáticos|Freijedo, Claudio|Yudowsky, Carla|Lu-Jue|19a21|Córdoba
